user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,faithfulness_mean,answer_relevancy_mean,context_precision_mean,context_recall_mean
졸업논문 작성은 어떻게 해야돼?,[],"좋아요. 졸업논문을 잘 쓰려면 목적과 구조를 먼저 명확히 잡고, 단계별로 꾸준히 진행하는 것이 핵심이에요. 아래에서 일반적인 방법과 실용적인 체크리스트를 정리해 두었어요. 필요하면 전공 분야나 학교 가이드라인에 맞춰 더 구체화해 드릴게요.

1) 기본 원칙
- 연구 질문이 명확해야 논문의 방향이 잡힙니다.
- 방법론이 연구 질문에 적합해야 합니다. 재현 가능성을 염두에 두고 설계하세요.
- 문헌고찰은 현재 연구의 위치를 보여주는 밑거름입니다.
- 출처는 반드시 정확히 인용하고, 표절을 피해야 합니다.
- 마감일에 맞추어 충분한 시간 여유를 남겨 초안과 수정 시간을 확보합니다.

2) 일반적인 작성 순서 (단계별 가이드)
1) 주제 선정과 연구 질문 확정
- 관심 분야에서 실현 가능하고 학문적 기여가 있는 질문을 찾습니다.
- 연구 범위를 너무 넓게 잡지 말고 구체화합니다.

2) 연구 설계와 방법 결정
- 데이터 수집 방법(실험, 설문, 인터뷰, 문헌자료 등)과 분석 방법을 정합니다.
- 연구 윤리/기관 승인(IRB 등) 필요 여부를 확인합니다.

3) 문헌고찰 계획 및 수행
- 핵심 키워드로 검색하고, 선행 연구의 한계점과 당신의 기여점을 정리합니다.
- 주제와 직접 관련된 주요 이론/방법론을 요약합니다.

4) 자료 수집/실험/데이터 분석
- 데이터를 어떻게 수집하고 저장할지 계획합니다(데이터 관리 계획 포함 권장).
- 분석 방법을 미리 스크립트나 코드로 간단히 구현해 보는 것도 좋습니다.

5) 결과 정리와 해석
- 수집한 데이터의 주요 결과를 표와 그림으로 명확히 제시합니다.
- 결과가 연구 질문에 어떻게 답하는지 해석합니다.

6) 논의와 결론
- 결과의 의의, 한계, 향후 연구 방향을 제시합니다.
- 연구의 실제적 시사점이나 적용 가능성을 논의합니다.

7) 초안 작성과 수정
- 구조대로 초안을 세부 목차에 맞춰 작성합니다.
- 초안은 여러 차례 수정합니다. 한 번에 완벽하게 쓰려 하지 말고, 각 회차마다 피드백을 반영합니다.

8) 참고문헌·부록 정리
- 학교 가이드라인에 맞는 인용 스타일으로 정리합니다(APA/MLA/Chicago/Vancouver 등).
- 도표, 설문지 원본 등 부속 자료를 부록에 포함합니다.

3) 논문 구성(전형적 구조)
- 표제 페이지, 초록(한국어/영어), 목차
- 1장 서론: 연구의 배경, 문제 제기, 연구 목적, 연구질문(또는 가설)
- 2장 이론/문헌고찰: 선행 연구 요약과 당신의 연구 위치
- 3장 방법론: 연구 설계, 자료 수집 방법, 분석 기법, 윤리적 고려
- 4장 결과: 핵심 결과의 제시(표/그래프 포함)
- 5장 논의: 결과 해석, 한계, 이론적/실천적 시사점
- 6장 결론: 요약, 연구의 기여, 향후 연구 제언
- 참고문헌
- 부록: 설문지, 추가 데이터 등

4) 작문 팁
- 논지의 흐름을 잘 드러내는 주제문(각 장/단락의 첫 문장)을 활용하세요.
- 시제의 일관성 유지(일반적으로 방법론은 과거, 결과는 현재/과거의 시제 혼용 여부는 분야 가이드에 따름).
- 능동태와 명확한 문장을 사용하고, 불필요한 반복을 줄입니다.
- 도표/그림에는 충분한 설명을 달고, 본문에서 도표를 참조할 때는 구체적으로 언급합니다.
- 용어의 일관성 유지. 약어는 처음 등장 시 풀어 쓰고, 이후에는 약어를 사용합니다.

5) 인용과 윤리
- 반드시 원저작자의 아이디어를 명시적으로 인용하고, 직접 인용은 필요한 경우에만 사용합니다.
- 표절 방지를 위해 자신의 말로 재설명하고, 출처를 정확히 표기합니다.
- 연구가 사람을 대상으로면 윤리 심의(IRB) 여부를 확인하고 필요한 절차를 받으세요.

6) 시간 관리와 계획(실용적인 예시)
- 마감이 남은 기간에 따라 다르지만, 다음과 같은 일반적인 스케줄이 도움이 될 수 있습니다.
  - 8~12주: 주제 확정, 연구질문 확정, 초기 문헌고찰
  - 8~12주: 심층 문헌고찰, 방법론 설계, 자료 수집 시작
  - 6~12주: 데이터 분석, 결과 정리
  - 4~6주: 논의 및 결론 작성, 초안 완성
  - 2~4주: 수정 및 지도교수 피드백 반영, 최종본 제출
- 주간 목표를 구체적으로 설정하고, 매주 일정 체크리스트를 만들어 보세요.

7) 도구와 자원
- 참고문헌 관리: Zotero, Mendeley, EndNote 등 사용
- 문서 협업: 구글 문서, Microsoft Word의 추적 변경 기능
- 표절 검사/초안 점검: Turnitin, Grammarly 등
- 데이터 분석 도구: Field에 따라 Python/R, SPSS/Stata, Excel 등

8) 학교 가이드라인 확인
- 학교나 학과의 논문 작성 규정(분량, 형식, 표/그림/인용 스타일, 초록 구성, 표지 등)을 반드시 확인하세요.
- 지도교수와의 정기 면담으로 피드백 루프를 만들어 두면 작 성속도와 품질이 크게 좋아집니다.

원하시면 구체적으로 맞춤형 로드맵을 만들어 드리겠습니다.
- 전공 분야와 학위(학부/석사/박사)
- 논문 제출 마감일과 학과 가이드라인 여부
- 현재 진행 상황(주제 아이디어, 초기 문헌고찰 여부, 데이터가 있는지 등)
- 선호하는 인용 스타일

이 정보를 주시면 상황에 맞춘 상세한 목차 예시, 초안 템플릿, 그리고 월별/주별 계획표를 만들어 드릴게요.","공주대 대학원 지침에 따라 논문은 간단·명료하게 작성하며, 제목(국·영문), 목차와 표·그림목차(별지), 본문, 인용문헌, 참고문헌, 초록, 부록의 순으로 구성한다. 본문 전개는 계열별 예시(인문사회/자연공학/예체능)를 따르고, 인용은 ‘저자(연도:쪽)’ 표기, 참고문헌은 규정된 서지 형식과 배열 순서를 따른다. 초록은 A4 1~2매로 국문 논문은 영문초록, 외국문 논문은 국문초록을 첨부한다.",0.9811320754716981,0.9314478010394326,0.0,1.0,0.4226798817011081,0.22292160708009068,0.0,0.0625
학위논문 편집·인쇄 요령 핵심만 알려줘.,[],"다음은 학위논문 편집·인쇄의 핵심 요령입니다. 학교 가이드라인에 따라 조정해 사용하세요.

1) 포맷과 레이아웃
- 종이 크기: 일반적으로 A4. 여백은 학교 규정에 따르되 보통 상하좌우 약 25–30mm 정도 권장.
- 글자 크기/체: 본문 10–12pt, 제목은 계층별로 14–16pt 정도, 세리프체를 기본으로 하되 학교 가이드에 맞춰 조정.
- 줄 간격: 1.5배 또는 2배(가이드라인에 따르되, 표나 그래프가 많으면 다르게 설정 가능).
- 정렬/단락: 좌측 정렬 권장, 고유 용어는 통일성 있게 사용. 이음매/연결 부호 정리.
- 자동 번호 매기기: 목차, 그림/표, 섹션 제목은 자동 스타일링으로 관리.

2) 구성 요소
- 표지/초록(한국어/영어), 목차, 본문, 그림·표 목록, 부록(필요 시), 참고문헌, 부록.
- 모든 장/절은 일관된 이름 규칙으로 표기하고, 목차와 목록이 정확히 자동 업데이트되도록 설정.

3) 그림/표 관리
- 해상도: 인쇄용은 최소 300dpi.
- 파일 포맷: 원본 원천 파일 유지 후 필요 시 해상도 조정, 캡션은 도표 번호와 설명을 함께.
- 캡션 위치/형식: 그림 아래, 표 위/아래 등 학교 규정에 맞게 일관되게.

4) 인용과 참고문헌
- 하나의 인용 스타일을 선택하고 전체에 일관되게 적용.
- 가능하면 Zotero/Mendeley/EndNote 같은 도구로 관리하고, 각 항목의 DOI/URL이 정확한지 확인.
- 직접 인용과 재구성 인용의 비율을 규정대로 맞춤.

5) 페이지 넘김과 스타일링
- 프리페이즈(표지, 초록 등) 페이지 넘버링은 로마자나 로마자 섹션으로 표기 여부를 가이드에 맞춰 설정.
- 본문부터는 아라비아 숫자 페이지 넘김으로 시작하도록 설정.
- 헤더/푸터: 페이지 번호 위치, 저자명/논문 제목 등의 짧은 헤더 형식 여부를 가이드에 맞춰 구성.

6) 문법·용어 일관성
- 용어집/약어 정리: 처음 등장 시 풀어쓰고, 이후에는 약어 사용.
- 시제: 방법론은 과거, 결과/논의는 현재 또는 시제 혼용 규정을 따르되 분야 가이드에 맞춰 결정.

7) PDF 출력 전 점검
- 글꼴 임베딩 여부 확인.
- 파일에 태그/검색 가능한 구조를 유지(접근성 고려).
- 메타데이터(제목, 저자, 키워드) 입력.

8) 인쇄·제본 실무
- 인쇄 방식: 흑백인쇄가 기본인 경우가 많고, 색상이 필요한 페이지는 구분.
- 양면 인쇄 여부: 학교 규정과 예산에 따라 결정.
- 커버/표지: 제목, 저자, 학위, 대학 로고 등 요구 형식 맞춤. 표지 재질과 두께도 규정 준수.
- 제본 방식: 제본 종류(소프트커버/하드커버, 퍼펙트 바인딩, 스프링 등) 선택. 필요한 예치 용지/케이스도 확인.
- 인쇄 파일 수: 제출Copies 수에 맞춰 여유 복사본 확보.

9) 최종 확인 체크리스트(간단)
- 모든 표/그림의 캡션과 번호가 본문에서 정확히 참조되는지
- 목차/도표 목록이 올바르게 업데이트되었는지
- 참고문헌 형식이 일관되고 누락 항목이 없는지
- 오탈자, 공백/문장 부호, 용어 일관성 최종 점검
- 파일 형식은 제출 규정에 맞는 PDF(또는 요구 형식)로 변환하고 암호 등 불필요한 보안 설정 제거
- 필요 시 지도교수/심사위원이 원하는 포맷으로 마지막 확인

필요하면 학교 가이드라인에 맞춘 맞춤형 체크리스트와 간단한 템플릿(목차, 스타일 시트, 자동 목차 예시)을 만들어 드릴게요. 학위 유형과 학교, 그리고 제출 마감일 정보를 알려주시면 더 구체화해 드리겠습니다.","심사위원회 최종 통과 후 1개월 이내 인쇄 제출. 판종 4×6배판(19×26cm), 표지는 흑색 하드 양장 은박(박사는 금박), 본문지 약 80파운드 모조지, 글자 크기(장15/절13/소제목12/본문10~11/주10pt), 편집용지 B5(182×257mm), 줄간격 170~180%, 여백(위2.5/왼2.7/오른1.5/아래3cm), 본문 판면은 별지 양식, 단면 또는 양면 인쇄 가능.",0.0,0.0,0.0,0.0,0.4226798817011081,0.22292160708009068,0.0,0.0625
제본 순서는 어떻게 돼?,[],"대부분의 학위논문에서 일반적으로 적용되는 제본 순서는 아래와 같습니다. 학교 가이드라인이 최우선이므로 가능하면 확인 후 맞추세요.

일반적인 제본 순서(가장 많이 쓰이는 구성)
- 표지(커버)
- 제목 표지(Title page) - 학교/학과 형식에 따라 따로 있는 경우
- 국문 초록
- 영문 초록(Abstract)
- 감사의 글(선택)
- 차례(목차)
- 그림목차(목록)
- 표목차(목록)
- 본문 시작: 제1장 ~ 제마지막장
- 참고문헌(또는 참고문헌/인용)
- 부록(필요 시)
- 저자 약력/약력란(선택적, 학교 가이드 따라)

추가/참고 사항
- 승인서나 저작권 확인서 같은 행정 문서가 필요한 경우 앞부분이나 마지막에 삽입하는 경우가 있습니다. 학교 가이드에서 위치를 확인하세요.
- 앞부분(초록, 차례, 목록)은 로마자 페이지 넘김으로 하는 경우가 많고, 본문은 아라비아 숫자 페이지 넘김으로 시작하는 식으로 구분하는 경우가 있습니다. 가이드라인에 맞춰 설정하세요.
- 모든 차례목록/그림목록/표목록은 자동 업데이트가 되도록 스타일을 적용하는 것을 권장합니다.
- 각 목록의 캡션은 일관되게 표기하고, 그림/표 번호가 본문에서 정확히 참조되도록 체크하세요.

맞춤 도움 원하시면, 학위 유형(학사/석사/박사), 소속 대학/학과, 꼭 필요한 항목(예: 감사의 글 포함 여부, 영어 초록 여부, 승인서 필요 여부)을 알려주시면 학교 가이드에 맞춘 구체적 제본 순서 표와 함께 간단한 체크리스트도 만들어 드리겠습니다.","제본 순서는 ①겉표지(별지1) ②백지 1장 ③논문제출지(별지2) ④인준지(석사·박사 별지3/4) ⑤본문(별지5) ⑥초록(국문 논문은 영문초록 별지6, 외국문 논문은 국문초록 별지10) ⑦부록(있을 경우)이다.",0.0,0.7891333377774115,0.0,0.0,0.4226798817011081,0.22292160708009068,0.0,0.0625
도서관에 제출할 인쇄본은 몇 부야? 어디에 제출해?,[],"일반적으로는 학교 가이드라인에 따라 달라지지만, 도서관에 제출하는 인쇄본은 보통 1~3부 수준이고, 추가로 학과나 대학 도서관에 보관용 사본을 요구하는 경우가 많습니다. 정확한 수는 반드시 소속 학교의 “학위논문 제출 규정”을 확인해야 합니다.

확인해야 할 점
- 제출 부수: 도서관용 1부만 필요한지, 학과/대학 도서관 보관용 추가 부수가 필요한지.
- 제출처: 중앙도서관(또는 캠퍼스 중앙도서관) 제출 창구 여부, 학과 행정실을 통해 도서관으로 전달하는 방식 여부.
- 제출 방식: 직접 방문 제출 vs 우편/택배 제출 가능 여부.
- 제출 형식: 하드커버 여부, 표지/제본 규격, 필요 물품(승인서, 저작권 확인서 등) 포함 여부.
- 마감일: 제출 마감일 및 심사 일정과의 연계 여부.

빠른 체크리스트 제안
- 학교의 학위논문 제출 규정에서 “인쇄본 부수”와 “제출처” 확인.
- 중앙도서관 제출 창구 위치와 운영 시간 확인.
- 학과 행정실에서 필요한 추가 부수나 절차가 있는지 문의.
- 제출 형식(제본 방식, 표지 디자인, 파일 형식)을 미리 준비.
- 제출 마감일 전에 여유 있게 1부 이상 준비.

필요하시면 학위 유형(학사/석사/박사), 소속 대학/학과, 제출 마감일, 그리고 학교의 가이드라인 여부를 알려 주세요. 그 정보를 바탕으로 정확한 부수와 제출처를 바로 확인해 드리며, 필요한 경우 간단한 제출 체크리스트도 맞춤으로 만들어 드리겠습니다.","인쇄본은 인준날인 원본 1부를 포함하여 총 3부를 제출하며, 제출장소는 중앙도서관 3층 학술정보과이다.",0.0,0.0,0.0,0.0,0.4226798817011081,0.22292160708009068,0.0,0.0625
원문 파일(전자 제출)은 어떻게 해?,[],"대부분의 학교에서 전자 제출은 “하나의 최종 PDF(또는 허용된 형식) 파일을 업로드”하는 방식이 일반적이에요. 아래는 원문 파일(전자 제출)을 준비하고 업로드하는 데 따른 실무 가이드입니다. 학교 가이드라인에 맞춰 꼭 확인하시고 필요하면 맞춤으로 조정해 드릴게요.

1) 먼저 확인할 것
- 전자 제출 포털 URL과 로그인 방법
- 허용 파일 형식(보통 PDF, 간혹 PDF/A 또는 ZIP 등)
- 최대 파일 크기 및 파일 수 제한
- 메타데이터 필수 여부(제목, 저자, 학과, 학위, 키워드 등)
- 필요 파일 구성(주 파일 + 부록/보조 자료의 여부 및 형식)
- 제출 마감일과 재제출 규정

2) 파일 구성 및 준비
- 주 파일: 본문+초록+목차가 포함된 하나의 PDF로 만든다. 하이퍼링크/목차 북마크가 작동하는지 확인.
- 부록/보조 자료: 필요 시 별도 파일로 준비(헤더/본문에서 참조 가능하도록 표기).
- 포맷 검사:
  - 글꼴은 포함되었고 텍스트가 글자로 추출 가능하도록 임베딩되어 있는지
  - 이미지 해상도 300dpi 이상
  - 표/그림 캡션이 올바르게 번호 매겨져 있고 본문과 정확히 참조되는지
  - 색상은 인쇄 버전에 무리가 없도록 구성(필요 시 흑백 인쇄용 대비 점검)
- 접근성(선택적): 태그된 PDF, 스크린리더 호환 여부 확인

3) 파일 이름과 메타데이터
- 파일 이름 예: lastname_firstname_degree_YYYY.pdf
- 메타데이터에 포함될 정보: 제목, 저자, 학위, 학과, 학교, 키워드, 초록 요약
- 필요 시 시스템에서 제공하는 형식의 필드에 정확히 입력

4) 제출용 서류 및 추가 자료
- 제출 시 필요한 추가 문서가 있다면 함께 업로드 여부 확인(예: 저작권/윤리 심의 확인서 스캔본)
- 데이터 파일이나 소스 코드 등 보조 자료가 필요한 경우 별도 파일로 업로드하는지 확인

5) 업로드 과정 요령
- 시스템에 로그인 → 제출/업로드 섹션으로 이동
- 주 파일 먼저 업로드 → 필요 시 보조 파일 추가
- 메타데이터 입력(제목, 저자 등) 및 필요 항목 체크박스 확인
- 제출 확인 화면에서 미리보기로 파일 내용/메타데이터 재확인
- 제출 완료 후 발급되는 확인서/제출 번호를 저장
- 필요 시 교수/심사위원에게 확인 메일에 제출 번호를 포함

6) 제출 후 점검
- 제출 확인 메시지나 이메일을 받았는지 확인
- 가이드라인대로 재제출이 필요한 경우 기한 내 수정 업로드
- 원본 파일의 백업 보관(로컬/클라우드)

7) 자주 발생하는 이슈
- 파일 용량 초과: 이미지 해상도 축소, 불필요한 대용량 파일 제거, 필요한 경우 ZIP으로 묶어 업로드 여부 확인
- 폰트 문제: 폰트 임베딩이 되지 않으면 인쇄물과 차이가 생길 수 있어 반드시 임베딩 확인
- 링크/목차 깨짐: PDF 생성 시 북마크/하이퍼링크 옵션을 켜고 재생성
- 보안 설정: 암호화/보호 설정 금지 여부 확인; 제출 시스템은 일반적으로 암호 없는 파일만 허용

원하시면 학교별 구체 가이드(제출 포털 이름, 허용 형식, 파일 수/크기 규정, 필요한 추가 문서 포함 여부)로 맞춤 안내를 드릴 수 있습니다. 학위 유형(학사/석사/박사), 소속 대학/학과, 제출 마감일, 그리고 현재 준비 상태를 알려 주시면, 바로 학교 가이드에 맞춘 전자 제출 절차 체크리스트와 파일 naming 템플릿까지 만들어 드릴게요.","도서관 홈페이지(연구·학습지원→학위논문제출) 또는 dCollection에서 온라인으로 원문파일을 제출하며, 제출 방법은 도서관 공고 및 dCollection 안내를 따른다.",1.0,0.0,0.0,0.0,0.4226798817011081,0.22292160708009068,0.0,0.0625
학위논문 공개는 원칙적으로 어떻게 돼? 비공개 가능해?,[],"원칙적으로는 학위논문은 도서관 저장소에 공개되는 것이 일반적이지만, 연구윤리, 저작권, 민감한 데이터 등의 이유로 비공개(임배고) 옵션을 사용할 수 있습니다. 주요 포인트는 다음과 같습니다.

1) 공개 vs 비공개의 기본
- 기본: 대부분의 대학은 학위논문을 공개 저장소에 올려 누구나 열람 가능하게 하는 것을 기본으로 삼습니다.
- 예외: 민감한 데이터나 출판사와의 계약 충돌 등 특정 상황에서 비공개를 허용합니다.

2) 임배고(Embargo)란?
- 정의: 일정 기간 동안 논문 전문의 공개를 보류하는 제도입니다.
- 일반 기간: 보통 6개월, 12개월, 24개월 등으로 구성되며, 학교나 학과에 따라 다릅니다.
- 가능 사유: 학술 출판 전 저작권/출판사 요구 보호, 특허 출원 준비, 민감한 데이터 보안 등.
- 관리 방법: 제출 시 임배고 기간을 선택하거나, 필요 시 학과/도서관에 요청합니다. IRB나 저작권 확인이 필요할 수 있습니다.
- 만료 시점: 기간이 지나면 자동으로 공개되거나, 관리 주체의 재연장 요청이 필요할 수 있습니다.

3) 부분공개 및 메타데이터 공개
- 경우에 따라 본문은 비공개로 두고, 제목·저자·초록 등 메타데이터만 공개하는 방식도 있습니다.
- 데이터나 부록은 별도 보안 저장소에 두고 필요 시 접근을 제한할 수 있습니다.

4) 주의사항과 체크리스트
- 학교/학과/도서관의 정책을 먼저 확인: 임배고 가능 기간, 신청 방법, 연장 규정 등.
- 저작권/출판 계약 확인: 출판 전자본과의 충돌 여부를 미리 점검.
- 연구윤리 데이터의 민감성 평가: 개인 정보, 기업 기밀 여부를 검토.
- 신청 시점 관리: 제출 시점에 임배고 여부를 명확히 표기하고, 기간 종료를 놓치지 않도록 달력에 표시.
- 필요 시 지도교수와 상의하고, 공식 문서로 요청 절차를 진행.

원하시면 소속 대학과 학위 유형(학사/석사/박사)을 알려 주세요. 해당 학교의 임배고 가능 기간, 신청 절차, 그리고 구체적 체크리스트를 맞춰 드리겠습니다.","학위논문은 원칙적으로 공개하며, 특별히 비공개할 사유가 있는 경우 학위논문 저작권 비동의 사유서를 첨부하여 비공개를 신청할 수 있다.",0.0,0.0,0.0,0.0,0.4226798817011081,0.22292160708009068,0.0,0.0625
How can I extend my visa in Korea?,[],"Here’s a practical overview for extending a visa in Korea. The exact requirements depend on your visa type (e.g., student, language trainee, work). Check your current visa category on HiKorea or with your local immigration office and your university’s international student office for specifics.

Key points
- Apply before your current visa/exemption period ends. Do not stay past the expiry date.
- Processing times vary (often a few weeks). Submit as early as possible to avoid gaps in status.
- Extensions are handled by Korea Immigration Service (via HiKorea or in person at an immigration office). Some visa types can be extended online; others may require in-person submission.

What you’ll typically need (by common visa categories)
- General documents (for most extensions)
  - Passport and Alien Registration Card (ARC)
  - Current visa/permit and a copy
  - Application form for extension of stay
  - Recent passport-sized photo
  - Fee payment (varies by type)
  - Confirmation of funds or financial support (bank statements, scholarship letter, etc.)
  - Evidence of ongoing activity in Korea (university enrollment letter, employer letter, contract, etc.)
  - Your current stay purpose documents (e.g., student status letter, study plan)
  - Any required translations (if documents are not in Korean or English)

- Student / language trainee (e.g., D-2, D-4)
  - Certificate of enrollment and/or transcript
  - Letter from the university confirming continued enrollment
  - Study plan or progress report
  - Proof of sufficient funds for tuition and living expenses
  - occasionally a house/apartment contract or address confirmation

- Work-related visas (e.g., E-2, E-7)
  - Employer/contract letter confirming ongoing employment
  - Employer business registration or company letter
  - Recent payslips or tax documents (if required)
  - Any sector-specific documents requested by the office

Where to apply
- HiKorea online portal: Many extensions can be submitted online via the visa extension/Change of Status service.
- Local immigration office: You can also apply in person at the immigration office that serves your area.
- Your university’s international office can often assist with document preparation and guidance.

Tips for a smoother process
- Start early and track deadlines; you may need a new ARC card with updated validity.
- Ensure all documents are legible and, if needed, translated into Korean or English.
- Keep copies of everything you submit and a record of submission/receipt numbers.
- If you’re uncertain, contact your university’s international student office—they’re usually very helpful with extension procedures.
- If your request is denied, ask about the reason and possible re-application or appeal procedures.

Would you like a tailored checklist? If you share:
- your current visa type (e.g., D-2, D-4, E-2, etc.),
- your nationality,
- your plan (continue studies, stay for work, etc.),
- the city/immigration office you’ll use,
I can draft a precise, step-by-step extension checklist and document list for your situation.","You can apply from up to 3 months before your stay expires until the expiration date. For a general extension (undergraduate/graduate), prepare: application, passport copy, ARC, transcript, enrollment certificate, tuition payment receipt, proof of residence, the fee of 60,000 KRW, and financial proof of at least 8,000,000 KRW per year; if your last-semester GPA is below C/2.0, include a statement of reasons.",0.0,0.0,0.0,0.0,0.4226798817011081,0.22292160708009068,0.0,0.0625
What documents do I need for the extension?,[],"Here’s a practical, category-based checklist. Exact requirements depend on your visa type and local immigration office, so always double-check your specific school/office guidelines.

General documents (needed for most extensions)
- Passport and Alien Registration Card (ARC) and a copy
- Current visa/permit and a copy
- Completed extension/Change of Status of Stay form
- Recent passport-sized photo
- Application fee payment receipt
- Proof of funds for the coming period (bank statements, scholarship letter, sponsor letter)
- Evidence of ongoing activity in Korea (e.g., enrollment letter or transcript for students; employer letter/contract for workers)
- Your stay purpose documents (e.g., student status letter, study plan, work contract)
- Any required translations (documents in Korean or English; translate if needed)
- Copies of all documents (keep originals for submission if required)

Common-specific documents by visa type
- Student visa (D-2)
  - Enrollment certificate and/or latest transcript
  - Letter from the university confirming continued enrollment
  - Updated study plan or progress report
  - Proof of sufficient funds for tuition and living costs
  - Address verification (e.g., housing contract) if required

- Language trainee (D-4)
  - Enrollment/registration letter from the language program
  - Study plan or progress report
  - Proof of funds for the duration of extension

- Work-related visa (E-2, E-7, etc.)
  - Employer letter confirming continued employment and job details
  - Employer business registration or company letter
  - Recent payslips or tax documents (if requested)
  - Updated employment contract or job description

- Dependent/Family visa (F-3)
  - Sponsor’s ARC and status in Korea
  - Proof of family relationship (marriage certificate, birth certificates)
  - Sponsor’s financial support documents

Practical tips
- Translate non-Korean/English documents as required; keep both originals and translated copies.
- Have digital scans ready in addition to hard copies.
- Gather everything early to avoid last-minute issues; some offices require a timely set of documents.
- Keep copies and note submission dates/receipt numbers.
- If your university’s international office assists, use their checklist—they’re familiar with local office quirks.

If you share your exact visa type, nationality, city/immigration office, and your plan in Korea (continue study, work, etc.), I’ll tailor a precise, step-by-step checklist and a ready-to-use document list for you.","For a general extension: ① application ② passport copy ③ ARC ④ transcript ⑤ enrollment certificate ⑥ tuition payment receipt ⑦ proof of residence ⑧ fee 60,000 KRW ⑨ financial proof ≥ 8,000,000 KRW per year ⑩ statement of reasons if last-semester GPA < C/2.0.",0.0,0.0,0.0,0.0,0.4226798817011081,0.22292160708009068,0.0,0.0625
How much is the extension fee?,[],"Short answer: the fee depends on your visa type and the local office, but for most common extensions it’s around 60,000 KRW, with a typical range of 40,000–70,000 KRW.

What affects the amount
- Visa category (e.g., student D-2, language D-4, work E-2, E-7, etc.)
- Online submission vs. in-person submission (some portals charge the same, but check if there are portal-specific fees)
- Any additional services or documentation requirements at your local office

How to confirm the exact amount
- Check the HiKorea online portal or the immigration office page for Change of Status/Extension fees for your visa type.
- Contact your university’s international office or the local immigration office directly for the precise current fee.
- If you’re using a specific city or office, they may list the exact amount on their site or in your submission guide.

If you share:
- Your visa type (e.g., D-2, D-4, E-2, etc.)
- Your city/immigration office
- Whether you’ll apply online or in person
I can give you the exact current fee and a quick checklist for the submission.","The extension fee is 60,000 KRW. Government Scholarship (GKS) students are exempt only from the revenue stamp if they submit the scholarship certificate; other fees still apply as specified.",0.0,0.0,0.0,0.0,0.4226798817011081,0.22292160708009068,0.0,0.0625
What are the financial requirements for an extension?,[],"Financial proof for a Korea visa extension varies by visa type (student, language trainee, work, etc.) and by the local immigration office. In general, you must show you have enough funds to support yourself for the extension period (and sometimes for tuition or housing as well). Here’s a practical guide.

What counts as funds
- Personal funds in your name (bank statements, bank letter)
- Scholarships or sponsor funds (official scholarship letter, sponsor bank statements)
- Employer support or contract deposits (for work-related extensions)
- Any prepaid housing or tuition payments that cover part of the extension

Documents you’ll typically need
- Bank statements: last 3–6 months, showing your name and balance
- Sponsor letters (if someone else is paying): sponsor’s bank statements and a relationship proof
- Scholarship or grant award letter (if applicable)
- Proof of ongoing activity in Korea: enrollment/employee documents
- If housing is included: proof of housing costs or a housing contract
- Translations: non-Korean/English documents may need to be translated
- A summary or cover letter explaining how your funds cover the extension period

Estimated amounts (very general; actual requirements vary)
- Living costs (typical, per month, in KRW):
  - Seoul/major cities: about 1,000,000 to 1,500,000 KRW per month (~$750–$1,125)
  - Other cities: about 700,000 to 1,000,000 KRW per month (~$525–$750)
- For a 6–12 month extension, you’ll usually be asked to show funds for the extension period plus a buffer. Some offices prefer a fixed minimum (e.g., the equivalent of a year’s living costs); others accept the extension period amount.
- Note: Some immigration offices publish a specific minimum amount by visa type; always check the exact requirement for your category.

How to present the funds
- Organize a neat bundle:
  - A cover note stating your name, visa type, extension period, and total funds
  - Current bank statements (with dates clearly visible)
  - Official bank letters if required
  - Sponsor/sholarship letters (with contact details)
  - Any translation certificates
- Ensure totals add up and align with the extension period you’re applying for
- Keep copies of everything and note submission dates

Tips to avoid delays
- Start gathering funds early; some offices require funds to be available for the extension period
- Make sure all documents are legible and properly translated
- Confirm whether the immigration office requires original documents or are satisfied with copies
- If you have a sponsor, include a clear‑cut sponsorship letter and a recent bank statement from the sponsor

Would you like a tailored checklist? If you share:
- Your visa type (e.g., D-2, D-4, E-2, etc.)
- Your city/immigration office
- Extension period you’re applying for
- Whether you have personal funds, scholarships, or a sponsor
I can draft a precise, step-by-step funds checklist with exact document titles and a sample cover letter.","For a general extension, you need financial proof of at least 8,000,000 KRW per year. For completion extensions, the amount is calculated as (1,000,000 KRW × number of months to extend + tuition) × 0.5, e.g., 12 months → 8,000,000 KRW.",0.9722222222222222,0.0,0.0,0.0,0.4226798817011081,0.22292160708009068,0.0,0.0625
